Uniprot	description	markers	svm	svm.scores	final.assignment
Q99426	Tubulin-folding cofactor B OS=Homo sapiens GN=TBCB PE=1 SV=2 - [TBCB_HUMAN]	unknown	CYTOSOL	0.923414264	CYTOSOL
P01112	GTPase HRas OS=Homo sapiens GN=HRAS PE=1 SV=1 - [RASH_HUMAN]	unknown	PM	0.910845482	PM
Q8NC51	Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1 PE=1 SV=2 - [PAIRB_HUMAN]	unknown	RIBOSOME 40S	0.703966541	RIBOSOME 40S
O95817	BAG family molecular chaperone regulator 3 OS=Homo sapiens GN=BAG3 PE=1 SV=3 - [BAG3_HUMAN]	unknown	RIBOSOME 60S	0.234950075	unknown
P10412	Histone H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2 - [H14_HUMAN]	unknown	CHROMATIN	0.752936623	CHROMATIN
Q8NBJ7	Sulfatase-modifying factor 2 OS=Homo sapiens GN=SUMF2 PE=1 SV=2 - [SUMF2_HUMAN]	ER	ER	1	ER
Q15691	Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3 - [MARE1_HUMAN]	unknown	CYTOSOL	0.301694169	unknown
P46781	40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3 - [RS9_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
Q86UE4	Protein LYRIC OS=Homo sapiens GN=MTDH PE=1 SV=2 - [LYRIC_HUMAN]	unknown	ER	0.906552924	unknown
Q9UL26	Ras-related protein Rab-22A OS=Homo sapiens GN=RAB22A PE=1 SV=2 - [RB22A_HUMAN]	unknown	PM	0.907376509	PM
P06756-3	Isoform 3 of Integrin alpha-V OS=Homo sapiens GN=ITGAV - [ITAV_HUMAN]	PM	PM	1	PM
Q99615	DnaJ homolog subfamily C member 7 OS=Homo sapiens GN=DNAJC7 PE=1 SV=2 - [DNJC7_HUMAN]	unknown	PROTEASOME	0.498147811	unknown
O94826	Mitochondrial import receptor subunit TOM70 OS=Homo sapiens GN=TOMM70 PE=1 SV=1 - [TOM70_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
Q12841	Follistatin-related protein 1 OS=Homo sapiens GN=FSTL1 PE=1 SV=1 - [FSTL1_HUMAN]	unknown	ER	0.86972963700000006	unknown
P25787	Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2 - [PSA2_HUMAN]	PROTEASOME	PROTEASOME	1	PROTEASOME
P84243	Histone H3.3 OS=Homo sapiens GN=H3F3A PE=1 SV=2 - [H33_HUMAN]	unknown	CHROMATIN	0.745951757	CHROMATIN
Q14847	LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2 - [LASP1_HUMAN]	unknown	RIBOSOME 60S	0.218759121	unknown
Q9P0J0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3 - [NDUAD_HUMAN]	unknown	MITOCHONDRION	0.960207869	MITOCHONDRION
P54578-2	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens GN=USP14 - [UBP14_HUMAN]	unknown	CYTOSOL	0.910244195	CYTOSOL
O14548	Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Homo sapiens GN=COX7A2L PE=1 SV=2 - [COX7R_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
Q9Y3Q3	Transmembrane emp24 domain-containing protein 3 OS=Homo sapiens GN=TMED3 PE=1 SV=1 - [TMED3_HUMAN]	unknown	ER	0.869813618	unknown
Q9HAV7	GrpE protein homolog 1, mitochondrial OS=Homo sapiens GN=GRPEL1 PE=1 SV=2 - [GRPE1_HUMAN]	unknown	MITOCHONDRION	0.958936982	MITOCHONDRION
Q6ZSR9	Uncharacterized protein FLJ45252 OS=Homo sapiens PE=2 SV=2 - [YJ005_HUMAN]	unknown	RIBOSOME 60S	0.242163173	unknown
Q13838	Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=1 SV=1 - [DX39B_HUMAN]	unknown	NUCLEUS	0.941969726	NUCLEUS
O95347	Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2 - [SMC2_HUMAN]	unknown	RIBOSOME 60S	0.319682412	unknown
Q96BJ3	Axin interactor, dorsalization-associated protein OS=Homo sapiens GN=AIDA PE=1 SV=1 - [AIDA_HUMAN]	unknown	PM	0.815273805	unknown
Q9UNF1	Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2 - [MAGD2_HUMAN]	unknown	PROTEASOME	0.459484286	unknown
Q9GZR2	RNA exonuclease 4 OS=Homo sapiens GN=REXO4 PE=1 SV=2 - [REXO4_HUMAN]	unknown	NUCLEUS	0.903034699	NUCLEUS
O60313-2	Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 - [OPA1_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
Q9BVK6	Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2 - [TMED9_HUMAN]	unknown	ER	0.864163121	unknown
P31689	DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2 - [DNJA1_HUMAN]	unknown	MITOCHONDRION	0.231097211	unknown
Q15006	ER membrane protein complex subunit 2 OS=Homo sapiens GN=EMC2 PE=1 SV=1 - [EMC2_HUMAN]	unknown	ER	0.94576275	ER
P22314	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3 - [UBA1_HUMAN]	unknown	CYTOSOL	0.923293831	CYTOSOL
Q8NBX0	Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens GN=SCCPDH PE=1 SV=1 - [SCPDL_HUMAN]	unknown	MITOCHONDRION	0.546197744	unknown
O75323	Protein NipSnap homolog 2 OS=Homo sapiens GN=GBAS PE=1 SV=1 - [NIPS2_HUMAN]	unknown	MITOCHONDRION	0.954679831	MITOCHONDRION
O15240	Neurosecretory protein VGF OS=Homo sapiens GN=VGF PE=1 SV=2 - [VGF_HUMAN]	unknown	PM	0.814375508	unknown
Q12907	Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1 - [LMAN2_HUMAN]	unknown	ER	0.812827037	unknown
Q13242	Serine/arginine-rich splicing factor 9 OS=Homo sapiens GN=SRSF9 PE=1 SV=1 - [SRSF9_HUMAN]	unknown	NUCLEUS	0.925292995	NUCLEUS
O75489	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1 - [NDUS3_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
P62750	60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1 - [RL23A_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
Q92930	Ras-related protein Rab-8B OS=Homo sapiens GN=RAB8B PE=1 SV=2 - [RAB8B_HUMAN]	unknown	PM	0.929584522	PM
Q13011	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2 - [ECH1_HUMAN]	unknown	MITOCHONDRION	0.922287137	MITOCHONDRION
Q14699	Raftlin OS=Homo sapiens GN=RFTN1 PE=1 SV=4 - [RFTN1_HUMAN]	PM	PM	1	PM
P41208	Centrin-2 OS=Homo sapiens GN=CETN2 PE=1 SV=1 - [CETN2_HUMAN]	unknown	CHROMATIN	0.576096765	CHROMATIN
P38919	Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4 - [IF4A3_HUMAN]	unknown	NUCLEUS	0.884590017	NUCLEUS
P09486	SPARC OS=Homo sapiens GN=SPARC PE=1 SV=1 - [SPRC_HUMAN]	unknown	PM	0.723053582	unknown
Q9NS69	Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens GN=TOMM22 PE=1 SV=3 - [TOM22_HUMAN]	unknown	MITOCHONDRION	0.953102821	MITOCHONDRION
Q9NX62	Inositol monophosphatase 3 OS=Homo sapiens GN=IMPAD1 PE=1 SV=1 - [IMPA3_HUMAN]	GA	GA	1	GA
P62280	40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3 - [RS11_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
P24666	Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3 - [PPAC_HUMAN]	unknown	CYTOSOL	0.875368799	unknown
P63220	40S ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1 - [RS21_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
P19404	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens GN=NDUFV2 PE=1 SV=2 - [NDUV2_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
Q9NX63	MICOS complex subunit MIC19 OS=Homo sapiens GN=CHCHD3 PE=1 SV=1 - [MIC19_HUMAN]	unknown	MITOCHONDRION	0.942105823	MITOCHONDRION
Q92643	GPI-anchor transamidase OS=Homo sapiens GN=PIGK PE=1 SV=2 - [GPI8_HUMAN]	unknown	ER	0.938955528	ER
Q9HCD5	Nuclear receptor coactivator 5 OS=Homo sapiens GN=NCOA5 PE=1 SV=2 - [NCOA5_HUMAN]	unknown	NUCLEUS	0.94488828	NUCLEUS
P60468	Protein transport protein Sec61 subunit beta OS=Homo sapiens GN=SEC61B PE=1 SV=2 - [SC61B_HUMAN]	ER	ER	1	ER
Q9NV31	U3 small nucleolar ribonucleoprotein protein IMP3 OS=Homo sapiens GN=IMP3 PE=1 SV=1 - [IMP3_HUMAN]	NUCLEUS	NUCLEUS	1	NUCLEUS
Q86W42	THO complex subunit 6 homolog OS=Homo sapiens GN=THOC6 PE=1 SV=1 - [THOC6_HUMAN]	unknown	NUCLEUS	0.491784204	NUCLEUS
Q9HCN8	Stromal cell-derived factor 2-like protein 1 OS=Homo sapiens GN=SDF2L1 PE=1 SV=2 - [SDF2L_HUMAN]	ER	ER	1	ER
Q96JB6	Lysyl oxidase homolog 4 OS=Homo sapiens GN=LOXL4 PE=1 SV=1 - [LOXL4_HUMAN]	unknown	ER	0.724914154	unknown
P11441	Ubiquitin-like protein 4A OS=Homo sapiens GN=UBL4A PE=1 SV=1 - [UBL4A_HUMAN]	unknown	PROTEASOME	0.559663018	unknown
Q14240	Eukaryotic initiation factor 4A-II OS=Homo sapiens GN=EIF4A2 PE=1 SV=2 - [IF4A2_HUMAN]	unknown	PROTEASOME	0.5338702	unknown
O76031	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens GN=CLPX PE=1 SV=2 - [CLPX_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2 - [U520_HUMAN]	NUCLEUS	NUCLEUS	1	NUCLEUS
Q9Y4W6	AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2 - [AFG32_HUMAN]	unknown	MITOCHONDRION	0.963364452	MITOCHONDRION
Q14376	UDP-glucose 4-epimerase OS=Homo sapiens GN=GALE PE=1 SV=2 - [GALE_HUMAN]	CYTOSOL	CYTOSOL	1	CYTOSOL
O15173	Membrane-associated progesterone receptor component 2 OS=Homo sapiens GN=PGRMC2 PE=1 SV=1 - [PGRC2_HUMAN]	unknown	ER	0.870201924	unknown
O60568	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Homo sapiens GN=PLOD3 PE=1 SV=1 - [PLOD3_HUMAN]	ER	ER	1	ER
P62857	40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1 - [RS28_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
Q13217	DnaJ homolog subfamily C member 3 OS=Homo sapiens GN=DNAJC3 PE=1 SV=1 - [DNJC3_HUMAN]	unknown	ER	0.960606001	ER
P02511	Alpha-crystallin B chain OS=Homo sapiens GN=CRYAB PE=1 SV=2 - [CRYAB_HUMAN]	unknown	PROTEASOME	0.325912264	unknown
O00232	26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3 - [PSD12_HUMAN]	PROTEASOME	PROTEASOME	1	PROTEASOME
Q08211	ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4 - [DHX9_HUMAN]	unknown	NUCLEUS	0.951853522	NUCLEUS
O75475	PC4 and SFRS1-interacting protein OS=Homo sapiens GN=PSIP1 PE=1 SV=1 - [PSIP1_HUMAN]	unknown	NUCLEUS	0.465505897	NUCLEUS
P11310	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1 - [ACADM_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
P24844	Myosin regulatory light polypeptide 9 OS=Homo sapiens GN=MYL9 PE=1 SV=4 - [MYL9_HUMAN]	unknown	MITOCHONDRION	0.555562654	unknown
P47897	Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=1 SV=1 - [SYQ_HUMAN]	unknown	MITOCHONDRION	0.279145738	unknown
O95292	Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3 - [VAPB_HUMAN]	unknown	ER	0.933423092	unknown
Q8WXF1	Paraspeckle component 1 OS=Homo sapiens GN=PSPC1 PE=1 SV=1 - [PSPC1_HUMAN]	unknown	NUCLEUS	0.954620744	NUCLEUS
P11940	Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2 - [PABP1_HUMAN]	unknown	NUCLEUS	0.586896351	NUCLEUS
Q92974-3	Isoform 3 of Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 - [ARHG2_HUMAN]	unknown	RIBOSOME 60S	0.480083218	unknown
Q9Y5L4	Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens GN=TIMM13 PE=1 SV=1 - [TIM13_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
O15270	Serine palmitoyltransferase 2 OS=Homo sapiens GN=SPTLC2 PE=1 SV=1 - [SPTC2_HUMAN]	ER	ER	1	ER
O95239	Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A PE=1 SV=3 - [KIF4A_HUMAN]	CHROMATIN	CHROMATIN	1	CHROMATIN
P26373	60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4 - [RL13_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
Q9BWF3	RNA-binding protein 4 OS=Homo sapiens GN=RBM4 PE=1 SV=1 - [RBM4_HUMAN]	unknown	NUCLEUS	0.729207556	NUCLEUS
O95782-2	Isoform B of AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 - [AP2A1_HUMAN]	unknown	RIBOSOME 60S	0.305732408	unknown
Q9UBP0-3	Isoform 3 of Spastin OS=Homo sapiens GN=SPAST - [SPAST_HUMAN]	unknown	PM	0.19981454	unknown
Q96EU6-2	Isoform 2 of Ribosomal RNA processing protein 36 homolog OS=Homo sapiens GN=RRP36 - [RRP36_HUMAN]	unknown	NUCLEUS	0.785801235	NUCLEUS
P08865	40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4 - [RSSA_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
Q9UDY4	DnaJ homolog subfamily B member 4 OS=Homo sapiens GN=DNAJB4 PE=1 SV=1 - [DNJB4_HUMAN]	unknown	RIBOSOME 60S	0.614978535	unknown
P26641	Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3 - [EF1G_HUMAN]	unknown	NUCLEUS	0.251194248	unknown
P13645	Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]	unknown	MITOCHONDRION	0.195474356	unknown
Q6UXN9	WD repeat-containing protein 82 OS=Homo sapiens GN=WDR82 PE=1 SV=1 - [WDR82_HUMAN]	unknown	NUCLEUS	0.937863054	NUCLEUS
P62834	Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1 - [RAP1A_HUMAN]	unknown	PM	0.940754649	PM
Q04760	Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4 - [LGUL_HUMAN]	CYTOSOL	CYTOSOL	1	CYTOSOL
P08582	Melanotransferrin OS=Homo sapiens GN=MELTF PE=1 SV=2 - [TRFM_HUMAN]	PM	PM	1	PM
Q9NZN3	EH domain-containing protein 3 OS=Homo sapiens GN=EHD3 PE=1 SV=2 - [EHD3_HUMAN]	unknown	PM	0.845069892	PM
A1L0T0	Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2 - [ILVBL_HUMAN]	unknown	ER	0.881905924	unknown
P62316	Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1 - [SMD2_HUMAN]	unknown	NUCLEUS	0.960373405	NUCLEUS
P62269	40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3 - [RS18_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
P35222	Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1 - [CTNB1_HUMAN]	PM	PM	1	PM
P53004	Biliverdin reductase A OS=Homo sapiens GN=BLVRA PE=1 SV=2 - [BIEA_HUMAN]	unknown	CYTOSOL	0.91995284	CYTOSOL
Q14558	Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Homo sapiens GN=PRPSAP1 PE=1 SV=2 - [KPRA_HUMAN]	unknown	PROTEASOME	0.221373876	unknown
O43493-2	Isoform TGN46 of Trans-Golgi network integral membrane protein 2 OS=Homo sapiens GN=TGOLN2 - [TGON2_HUMAN]	unknown	LYSOSOME	0.431466993	unknown
O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1 - [ADAS_HUMAN]	PEROXISOME	PEROXISOME	1	PEROXISOME
Q7L2E3-2	Isoform 2 of Putative ATP-dependent RNA helicase DHX30 OS=Homo sapiens GN=DHX30 - [DHX30_HUMAN]	unknown	MITOCHONDRION	0.435280458	unknown
Q8WVV9-4	Isoform 4 of Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRNPLL - [HNRLL_HUMAN]	unknown	NUCLEUS	0.906265143	NUCLEUS
Q13148	TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE=1 SV=1 - [TADBP_HUMAN]	unknown	NUCLEUS	0.824864008	NUCLEUS
P18084	Integrin beta-5 OS=Homo sapiens GN=ITGB5 PE=1 SV=1 - [ITB5_HUMAN]	PM	PM	1	PM
P30566	Adenylosuccinate lyase OS=Homo sapiens GN=ADSL PE=1 SV=2 - [PUR8_HUMAN]	unknown	RIBOSOME 60S	0.32005643	unknown
Q6WCQ1	Myosin phosphatase Rho-interacting protein OS=Homo sapiens GN=MPRIP PE=1 SV=3 - [MPRIP_HUMAN]	unknown	MITOCHONDRION	0.446715874	unknown
P62241	40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2 - [RS8_HUMAN]	RIBOSOME 40S	RIBOSOME 40S	1	RIBOSOME 40S
P13073	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1 - [COX41_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
Q9UL46	Proteasome activator complex subunit 2 OS=Homo sapiens GN=PSME2 PE=1 SV=4 - [PSME2_HUMAN]	unknown	CYTOSOL	0.905887283	CYTOSOL
O15347	High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4 - [HMGB3_HUMAN]	unknown	NUCLEUS	0.64843429	NUCLEUS
Q15785	Mitochondrial import receptor subunit TOM34 OS=Homo sapiens GN=TOMM34 PE=1 SV=2 - [TOM34_HUMAN]	unknown	RIBOSOME 60S	0.341384828	unknown
P11172	Uridine 5'-monophosphate synthase OS=Homo sapiens GN=UMPS PE=1 SV=1 - [UMPS_HUMAN]	unknown	PROTEASOME	0.301425384	unknown
O43402	ER membrane protein complex subunit 8 OS=Homo sapiens GN=EMC8 PE=1 SV=1 - [EMC8_HUMAN]	unknown	ER	0.889938871	unknown
P07910-2	Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC - [HNRPC_HUMAN]	NUCLEUS	NUCLEUS	1	NUCLEUS
P61160	Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1 - [ARP2_HUMAN]	unknown	RIBOSOME 60S	0.354834679	unknown
P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5 - [SYEP_HUMAN]	unknown	RIBOSOME 60S	0.25504241	unknown
P30084	Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=ECHS1 PE=1 SV=4 - [ECHM_HUMAN]	MITOCHONDRION	MITOCHONDRION	1	MITOCHONDRION
P51116	Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens GN=FXR2 PE=1 SV=2 - [FXR2_HUMAN]	unknown	RIBOSOME 40S	0.742344904	RIBOSOME 40S
Q13526	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens GN=PIN1 PE=1 SV=1 - [PIN1_HUMAN]	unknown	PROTEASOME	0.470994527	unknown
Q8N1F7	Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2 - [NUP93_HUMAN]	unknown	NUCLEUS	0.545032721	NUCLEUS
O75521-2	Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial OS=Homo sapiens GN=ECI2 - [ECI2_HUMAN]	unknown	PEROXISOME	0.433243672	unknown
O43852	Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2 - [CALU_HUMAN]	unknown	ER	0.937583906	ER
P51571	Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1 - [SSRD_HUMAN]	unknown	ER	0.94906185	ER
Q8N3V7-2	Isoform 2 of Synaptopodin OS=Homo sapiens GN=SYNPO - [SYNPO_HUMAN]	unknown	CHROMATIN	0.26330055	unknown
Q9BYD1	39S ribosomal protein L13, mitochondrial OS=Homo sapiens GN=MRPL13 PE=1 SV=1 - [RM13_HUMAN]	unknown	MITOCHONDRION	0.956578335	MITOCHONDRION
P22061	Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=1 SV=4 - [PIMT_HUMAN]	unknown	CYTOSOL	0.527327503	unknown
P04632	Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1 - [CPNS1_HUMAN]	unknown	CYTOSOL	0.887850685	unknown
P61088	Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1 - [UBE2N_HUMAN]	unknown	CYTOSOL	0.900845365	CYTOSOL
Q96P11-2	Isoform 2 of Probable 28S rRNA (cytosine-C(5))-methyltransferase OS=Homo sapiens GN=NSUN5 - [NSUN5_HUMAN]	unknown	NUCLEUS	0.54623315	NUCLEUS
P41223	Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=1 SV=2 - [BUD31_HUMAN]	unknown	NUCLEUS	0.751572733	NUCLEUS
Q9Y282	Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Homo sapiens GN=ERGIC3 PE=1 SV=1 - [ERGI3_HUMAN]	unknown	ER	0.458639317	unknown
Q86V81	THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3 - [THOC4_HUMAN]	unknown	NUCLEUS	0.921788928	NUCLEUS
Q8IXS6-2	Isoform 2 of Paralemmin-2 OS=Homo sapiens GN=PALM2 - [PALM2_HUMAN]	unknown	PM	0.3859721	unknown
P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2 - [SODC_HUMAN]	unknown	CYTOSOL	0.859853215	unknown
P55735-2	Isoform 2 of Protein SEC13 homolog OS=Homo sapiens GN=SEC13 - [SEC13_HUMAN]	unknown	NUCLEUS	0.401619501	NUCLEUS
Q86U28	Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Homo sapiens GN=ISCA2 PE=1 SV=2 - [ISCA2_HUMAN]	unknown	MITOCHONDRION	0.948026324	MITOCHONDRION
O43447	Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens GN=PPIH PE=1 SV=1 - [PPIH_HUMAN]	unknown	NUCLEUS	0.531358422	NUCLEUS
Q9UQE7	Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2 - [SMC3_HUMAN]	CHROMATIN	CHROMATIN	1	CHROMATIN
Q12981	Vesicle transport protein SEC20 OS=Homo sapiens GN=BNIP1 PE=1 SV=3 - [SEC20_HUMAN]	unknown	ER	0.860421943	unknown
Q9BWM7	Sideroflexin-3 OS=Homo sapiens GN=SFXN3 PE=1 SV=2 - [SFXN3_HUMAN]	unknown	MITOCHONDRION	0.947443203	MITOCHONDRION
Q96AG4	Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1 - [LRC59_HUMAN]	unknown	ER	0.927728163	unknown
P36578	60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5 - [RL4_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
Q13263	Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5 - [TIF1B_HUMAN]	unknown	NUCLEUS	0.842501946	NUCLEUS
Q9Y2D5-6	Isoform 4 of A-kinase anchor protein 2 OS=Homo sapiens GN=AKAP2 - [AKAP2_HUMAN]	unknown	ER	0.409664157	unknown
Q14141	Septin-6 OS=Homo sapiens GN=SEPT6 PE=1 SV=4 - [SEPT6_HUMAN]	unknown	MITOCHONDRION	0.368541684	unknown
O15355	Protein phosphatase 1G OS=Homo sapiens GN=PPM1G PE=1 SV=1 - [PPM1G_HUMAN]	unknown	CYTOSOL	0.895596243	CYTOSOL
P61313	60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2 - [RL15_HUMAN]	RIBOSOME 60S	RIBOSOME 60S	1	RIBOSOME 60S
O94776	Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1 - [MTA2_HUMAN]	unknown	NUCLEUS	0.745344215	NUCLEUS
Q9UEU0	Vesicle transport through interaction with t-SNAREs homolog 1B OS=Homo sapiens GN=VTI1B PE=1 SV=3 - [VTI1B_HUMAN]	unknown	PM	0.663143029	unknown
Q9BYD3	39S ribosomal protein L4, mitochondrial OS=Homo sapiens GN=MRPL4 PE=1 SV=1 - [RM04_HUMAN]	unknown	MITOCHONDRION	0.954303646	MITOCHONDRION
Q8WWX9	Selenoprotein M OS=Homo sapiens GN=SELM PE=1 SV=3 - [SELM_HUMAN]	unknown	ER	0.959929036	ER
Q9H3Q1	Cdc42 effector protein 4 OS=Homo sapiens GN=CDC42EP4 PE=1 SV=1 - [BORG4_HUMAN]	unknown	PM	0.315523709	unknown
